,ash
2.3,7
2.28,7
2.7,6
2.32,6
2.36,6
2.2,5
2.38,5
2.48,5
2.1,4
2.5,4
2.62,4
2.4,4
2.46,3
2.64,3
2.35,3
2.12,3
2.21,3
2.42,3
1.92,3
1.98,3
2.27,3
2.17,3
2.61,3
2.45,3
2.26,3
2.6,3
2.24,2
2.23,2
1.7,2
2.19,2
2.0,2
2.58,2
2.25,2
2.14,2
2.74,2
2.68,2
2.31,2
2.29,2
2.54,2
2.67,2
2.51,2
2.41,2
2.39,2
2.72,2
2.56,2
2.65,2
1.82,1
1.88,1
2.86,1
1.94,1
2.13,1
2.78,1
2.69,1
1.99,1
2.75,1
2.15,1
3.23,1
2.73,1
1.9,1
2.92,1
2.43,1
2.22,1
1.95,1
2.87,1
2.52,1
3.22,1
2.8,1
2.84,1
2.55,1
2.59,1
2.44,1
2.04,1
1.36,1
2.02,1
2.16,1
2.53,1
1.75,1
1.71,1
2.37,1
