,flavanoids
2.65,4
2.03,3
2.68,3
0.6,3
1.25,3
0.58,3
2.53,2
0.47,2
0.66,2
2.92,2
2.99,2
2.79,2
1.09,2
1.75,2
1.28,2
1.64,2
1.84,2
1.36,2
1.57,2
2.76,2
2.17,2
2.26,2
1.59,2
2.27,2
1.69,2
0.5,2
3.0,2
0.83,2
3.39,2
2.98,2
0.92,2
0.68,2
3.03,2
3.17,2
2.43,2
3.15,2
0.76,2
2.69,2
0.7,2
2.11,1
1.92,1
0.84,1
0.96,1
1.76,1
2.04,1
0.34,1
0.51,1
0.49,1
3.75,1
2.5,1
0.99,1
0.61,1
2.25,1
0.75,1
2.58,1
1.6,1
2.01,1
1.1,1
0.78,1
0.8,1
0.52,1
0.65,1
0.48,1
1.39,1
0.63,1
1.31,1
1.2,1
2.29,1
1.22,1
0.56,1
2.45,1
2.24,1
2.13,1
5.08,1
2.09,1
0.55,1
1.46,1
3.06,1
1.5,1
2.88,1
3.04,1
2.64,1
2.74,1
3.19,1
3.25,1
2.33,1
2.97,1
2.19,1
2.94,1
2.61,1
2.37,1
2.41,1
1.61,1
3.93,1
3.4,1
3.14,1
2.91,1
3.64,1
3.69,1
3.32,1
2.51,1
2.52,1
3.49,1
3.24,1
3.29,1
3.56,1
2.63,1
3.54,1
1.94,1
2.21,1
1.58,1
2.55,1
1.85,1
1.32,1
2.14,1
2.89,1
2.86,1
1.02,1
1.3,1
2.0,1
3.18,1
3.1,1
1.79,1
1.41,1
0.57,1
3.67,1
3.23,1
2.78,1
2.9,1
3.74,1
3.27,1
0.69,1
