,hue
1.04,8
1.23,7
1.12,6
0.57,5
0.89,5
0.96,5
1.25,5
0.75,4
1.05,4
1.19,4
1.07,4
1.09,4
0.86,4
0.7,4
1.13,3
0.93,3
0.98,3
0.92,3
1.06,3
1.16,3
0.6,3
1.02,3
0.95,3
0.91,3
0.88,3
0.8,2
0.59,2
0.78,2
0.79,2
1.0,2
0.73,2
0.58,2
1.36,2
1.31,2
0.87,2
0.74,2
0.56,2
0.94,2
0.67,2
0.66,2
0.82,2
1.03,2
1.1,2
0.61,2
1.28,2
1.08,2
1.15,2
1.01,2
0.65,1
0.81,1
0.77,1
0.48,1
0.62,1
0.72,1
0.54,1
0.55,1
0.68,1
0.85,1
1.38,1
0.76,1
0.906,1
1.17,1
1.2,1
1.11,1
1.18,1
1.24,1
1.22,1
1.45,1
0.99,1
0.97,1
0.84,1
1.33,1
1.42,1
1.27,1
0.9,1
1.71,1
0.69,1
0.64,1
