,od280/od315_of_diluted_wines
2.87,5
1.82,4
3.0,4
2.78,4
1.56,3
1.75,3
2.77,3
2.31,3
1.33,3
3.33,3
2.96,3
3.17,3
3.1,2
1.68,2
3.26,2
2.84,2
2.44,2
1.58,2
3.38,2
1.51,2
1.29,2
3.16,2
3.13,2
3.4,2
3.12,2
2.26,2
3.21,2
2.06,2
3.3,2
1.62,2
2.75,2
2.65,2
3.58,2
2.57,2
2.82,2
3.2,2
2.88,2
2.93,2
2.85,2
3.02,1
3.05,1
3.64,1
1.83,1
2.42,1
3.69,1
3.39,1
1.74,1
1.63,1
2.12,1
3.19,1
3.28,1
2.81,1
1.71,1
2.5,1
1.3,1
1.47,1
1.42,1
1.55,1
1.86,1
1.48,1
1.64,1
1.73,1
1.96,1
2.0,1
1.78,1
2.05,1
2.47,1
2.11,1
1.8,1
2.15,1
1.69,1
1.27,1
1.92,1
1.36,1
3.57,1
3.92,1
2.83,1
3.22,1
3.44,1
3.35,1
3.56,1
3.53,1
2.69,1
2.51,1
3.47,1
2.71,1
3.59,1
3.82,1
2.74,1
3.63,1
4.0,1
3.52,1
3.71,1
3.36,1
2.73,1
2.9,1
3.55,1
3.45,1
2.91,1
3.37,1
3.03,1
3.31,1
2.63,1
2.27,1
3.08,1
2.01,1
2.72,1
3.14,1
2.52,1
2.48,1
2.14,1
3.5,1
3.07,1
1.93,1
3.48,1
3.18,1
2.3,1
2.23,1
2.46,1
1.59,1
1.67,1
1.6,1
