,proanthocyanins
1.35,9
1.46,7
1.87,6
1.25,5
1.66,4
2.08,4
1.56,4
1.98,4
2.29,3
1.14,3
1.62,3
1.95,3
0.94,3
1.03,3
1.04,3
0.83,3
1.77,3
2.38,3
1.4,3
1.97,3
1.63,3
2.81,3
1.48,2
1.15,2
0.73,2
2.01,2
0.42,2
0.8,2
2.91,2
0.64,2
2.03,2
1.86,2
1.44,2
1.76,2
1.54,2
1.42,2
1.02,1
0.88,1
1.06,1
2.49,1
3.58,1
1.22,1
1.24,1
1.05,1
1.11,1
0.97,1
0.96,1
1.53,1
1.61,1
2.7,1
1.55,1
1.83,1
1.71,1
1.31,1
1.9,1
1.26,1
0.86,1
0.68,1
0.84,1
1.3,1
0.75,1
1.1,1
0.81,1
0.55,1
1.65,1
3.28,1
1.99,1
1.7,1
2.34,1
1.37,1
1.36,1
1.45,1
1.92,1
1.69,1
2.1,1
1.72,1
2.96,1
1.81,1
1.57,1
1.85,1
1.82,1
2.18,1
2.19,1
2.14,1
1.68,1
0.95,1
1.64,1
1.38,1
1.34,1
2.35,1
1.43,1
2.76,1
1.28,1
2.45,1
1.96,1
2.5,1
2.28,1
0.62,1
0.41,1
2.04,1
1.41,1
